frame_index,pred_yaw,oxts_yaw,abs_yaw_error,yaw_inverted,abs_yaw_error_inverted,yaw_first_frame_relative,oxts_first_frame_relative,abs_first_frame_relative_error,is_91_100,is_88_103,inversion_improves_error
0,-62.98,-70.01026722086189,7.030267220861894,62.98,132.99026722086188,0.0,0.0,0.0,False,False,False
1,-54.47,-69.10310314383125,14.63310314383125,54.47,123.57310314383125,8.509999999999998,0.9071640770306431,7.602835922969355,False,False,False
2,-30.28,-68.38959880155484,38.10959880155484,30.28,98.66959880155484,32.699999999999996,1.6206684193070515,31.079331580692944,False,False,False
3,-49.45,-67.67655282551452,18.226552825514517,49.45,117.12655282551452,13.529999999999994,2.3337143953473714,11.196285604652623,False,False,False
4,-58.66,-66.87681833507092,8.216818335070926,58.66,125.53681833507092,4.32,3.133448885790969,1.1865511142090313,False,False,False
5,-54.77,-66.15941787978763,11.389417879787622,54.77,120.92941787978762,8.209999999999994,3.850849341074266,4.359150658925728,False,False,False
6,-62.58,-65.44161635404772,2.861616354047726,62.58,128.02161635404772,0.3999999999999986,4.568650866814167,4.168650866814168,False,False,False
7,-54.87,-64.67522800728074,9.80522800728074,54.87,119.54522800728074,8.11,5.335039213581155,2.774960786418845,False,False,False
8,-58.69,-64.01122721850363,5.321227218503637,58.69,122.70122721850363,4.289999999999999,5.999040002358257,1.7090400023582575,False,False,False
9,-67.44,-63.35496135996078,4.085038640039215,67.44,130.79496135996078,-4.460000000000001,6.655305860901109,11.11530586090111,False,False,False
10,-60.24,-62.63773279201601,2.397732792016008,60.24,122.87773279201602,2.739999999999995,7.372534428845881,4.6325344288458865,False,False,False
11,-60.66,-61.954595212881536,1.2945952128815392,60.66,122.61459521288154,2.3200000000000003,8.055672007980355,5.735672007980355,False,False,False
12,-61.95,-61.313340848571116,0.6366591514288871,61.95,123.26334084857112,1.029999999999994,8.696926372290775,7.666926372290781,False,False,False
13,-61.77,-60.604534760214776,1.1654652397852274,61.77,122.37453476021477,1.2099999999999937,9.405732460647116,8.195732460647122,False,False,False
14,-54.21,-59.92603813922085,5.716038139220849,54.21,114.13603813922086,8.769999999999996,10.084229081641041,1.3142290816410451,False,False,False
15,-69.99,-59.25544833579974,10.734551664200254,69.99,129.24544833579972,-7.009999999999998,10.75481888506215,17.764818885062148,False,False,False
16,-59.31,-58.58119160248979,0.728808397510214,59.31,117.89119160248978,3.6699999999999946,11.429075618372103,7.759075618372108,False,False,False
17,-53.06,-57.96818405747932,4.908184057479318,53.06,111.02818405747932,9.919999999999995,12.042083163382571,2.1220831633825767,False,False,False
18,-55.27,-57.33581053899343,2.065810538993425,55.27,112.60581053899344,7.709999999999994,12.674456681868463,4.9644566818684694,False,False,False
19,-40.58,-56.670434651508,16.090434651508005,40.58,97.250434651508,22.4,13.339832569353888,9.06016743064611,False,False,False
20,-53.39,-55.91298444634506,2.522984446345056,53.39,109.30298444634505,9.589999999999996,14.097282774516835,4.507282774516838,False,False,False
21,-55.88,-55.23964444550732,0.640355554492686,55.88,111.11964444550732,7.099999999999994,14.770622775354575,7.67062277535458,False,False,False
22,-51.32,-54.48918432544497,3.1691843254449665,51.32,105.80918432544496,11.659999999999997,15.521082895416924,3.861082895416928,False,False,False
23,-58.45,-53.80593215475145,4.64406784524855,58.45,112.25593215475146,4.529999999999994,16.20433506611044,11.674335066110444,False,False,False
24,-52.95,-53.13505587243277,0.18505587243276977,52.95,106.08505587243278,10.029999999999994,16.87521134842912,6.845211348429125,False,False,False
25,-53.79,-52.505719030261076,1.2842809697389228,53.79,106.29571903026107,9.189999999999998,17.504548190600815,8.314548190600817,False,False,False
26,-49.76,-51.70976606126534,1.9497660612653434,49.76,101.46976606126535,13.219999999999999,18.30050115959655,5.080501159596551,False,False,False
27,-51.82,-51.0307537782558,0.7892462217442002,51.82,102.85075377825581,11.159999999999997,18.97951344260609,7.819513442606095,False,False,False
28,-44.31,-50.39901051334455,6.089010513344547,44.31,94.70901051334455,18.669999999999995,19.61125670751734,0.941256707517347,False,False,False
29,-54.29,-49.64660233677876,4.643397663221236,54.29,103.93660233677876,8.689999999999998,20.36366488408313,11.67366488408313,False,False,False
30,-50.8,-48.96993918072925,1.8300608192707486,50.8,99.76993918072924,12.18,21.040328040132643,8.860328040132643,False,False,False
31,-50.03,-48.21924987754885,1.8107501224511537,50.03,98.24924987754885,12.949999999999996,21.791017343313044,8.841017343313048,False,False,False
32,-54.17,-47.498640858612816,6.671359141387185,54.17,101.66864085861282,8.809999999999995,22.511626362249075,13.70162636224908,False,False,False
33,-36.29,-46.75499893631252,10.464998936312519,36.29,83.04499893631251,26.689999999999998,23.255268284549373,3.4347317154506243,False,False,False
34,-39.39,-46.04607825639715,6.6560782563971514,39.39,85.43607825639715,23.589999999999996,23.96418896446474,0.3741889644647429,False,False,False
35,-45.02,-45.24766156888235,0.2276615688823469,45.02,90.26766156888235,17.959999999999994,24.76260565197954,6.8026056519795475,False,False,False
36,-40.74,-44.43056645724628,3.690566457246277,40.74,85.17056645724628,22.239999999999995,25.579700763615612,3.3397007636156175,False,False,False
37,-47.72,-43.63100385414121,4.088996145858786,47.72,91.35100385414121,15.259999999999998,26.37926336672068,11.11926336672068,False,False,False
38,-35.71,-42.726761861865754,7.016761861865753,35.71,78.43676186186576,27.269999999999996,27.283505358996138,0.013505358996141581,False,False,False
39,-47.93,-41.8895559316206,6.040444068379401,47.93,89.8195559316206,15.049999999999997,28.120711289241292,13.070711289241295,False,False,False
40,-44.17,-40.977922783787946,3.1920772162120556,44.17,85.14792278378795,18.809999999999995,29.032344437073945,10.22234443707395,False,False,False
41,-37.61,-39.90901272119188,2.299012721191879,37.61,77.51901272119187,25.369999999999997,30.101254499670013,4.731254499670015,False,False,False
42,-50.4,-38.95148565396924,11.448514346030755,50.4,89.35148565396923,12.579999999999998,31.058781566892648,18.47878156689265,False,False,False
43,-45.29,-37.961758358660255,7.328241641339744,45.29,83.25175835866025,17.689999999999998,32.048508862201636,14.358508862201639,False,False,False
44,-28.84,-36.80151882352034,7.96151882352034,28.84,65.64151882352034,34.14,33.20874839734155,0.931251602658449,False,False,False
45,-37.24,-35.72917101415349,1.5108289858465085,37.24,72.96917101415349,25.739999999999995,34.2810962067084,8.541096206708403,False,False,False
46,-38.55,-34.64290033036497,3.9070996696350306,38.55,73.19290033036496,24.43,35.367366890496925,10.937366890496925,False,False,False
47,-36.02,-33.44713741192694,2.5728625880730647,36.02,69.46713741192694,26.959999999999994,36.56312980893495,9.603129808934959,False,False,False
48,-22.85,-32.39186374485499,9.541863744854986,22.85,55.24186374485499,40.129999999999995,37.618403476006904,2.5115965239930915,False,False,False
49,-30.47,-31.35939379802925,0.8893937980292499,30.47,61.829393798029244,32.51,38.650873422832646,6.140873422832648,False,False,False
50,-19.44,-30.231297195196166,10.791297195196165,19.44,49.67129719519617,43.53999999999999,39.77897002566573,3.7610299743342637,False,False,False
51,-21.77,-29.25732623925328,7.487326239253282,21.77,51.027326239253284,41.209999999999994,40.75294098160861,0.45705901839138363,False,False,False
52,3.84,-28.3315410338809,32.1715410338809,-3.84,24.4915410338809,66.82,41.678726186980995,25.141273813018998,False,False,True
53,-3.05,-27.3145982433032,24.2645982433032,3.05,30.364598243303202,59.93,42.69566897755869,17.23433102244131,False,False,False
54,9.36,-26.431612985227087,35.79161298522709,-9.36,17.071612985227087,72.34,43.5786542356348,28.761345764365203,False,False,True
55,18.89,-25.57452541949089,44.46452541949089,-18.89,6.684525419490889,81.87,44.435741801371,37.434258198629,False,False,True
56,27.51,-24.68340416072392,52.19340416072392,-27.51,2.826595839276081,90.49,45.32686306013797,45.16313693986203,False,False,True
57,23.83,-24.01344461087745,47.84344461087745,-23.83,0.18344461087745145,86.81,45.99682260998444,40.81317739001556,False,False,True
58,33.33,-23.416938250366748,56.746938250366746,-33.33,9.91306174963325,96.31,46.59332897049514,49.71667102950486,False,False,True
59,3.12,-22.891364064893246,26.011364064893247,-3.12,19.771364064893245,66.1,47.118903155968646,18.98109684403135,False,False,True
60,33.52,-22.405438558842793,55.9254385588428,-33.52,11.11456144115721,96.5,47.6048286620191,48.8951713379809,False,False,True
61,45.25,-22.061434698646245,67.31143469864625,-45.25,23.188565301353755,108.22999999999999,47.948832522215646,60.281167477784344,False,False,True
62,24.52,-21.80904678989112,46.32904678989112,-24.52,2.7109532101088796,87.5,48.20122043097077,39.29877956902923,False,False,True
63,38.31,-21.639966944548014,59.94996694454802,-38.31,16.670033055451988,101.28999999999999,48.37030027631388,52.919699723686115,False,False,True
64,19.29,-21.59246874333167,40.88246874333167,-19.29,2.3024687433316693,82.27,48.417798477530226,33.85220152246977,False,False,True
65,42.72,-21.638534550060186,64.35853455006018,-42.72,21.081465449939813,105.69999999999999,48.371732670801705,57.32826732919828,False,False,True
66,42.02,-21.799764873610002,63.819764873610005,-42.02,20.22023512639,105.0,48.21050234725189,56.78949765274811,False,False,True
67,23.94,-22.078680728279682,46.01868072827968,-23.94,1.861319271720319,86.92,47.93158649258221,38.98841350741779,False,False,True
68,48.16,-22.476714508557066,70.63671450855706,-48.16,25.68328549144293,111.13999999999999,47.533552712304825,63.60644728769516,False,False,True
69,34.17,-23.019649315223035,57.189649315223036,-34.17,11.150350684776967,97.15,46.99061790563886,50.15938209436115,False,False,True
70,37.27,-23.583038715175174,60.853038715175174,-37.27,13.686961284824829,100.25,46.42722850568671,53.82277149431329,False,False,True
71,31.87,-24.328456806640375,56.19845680664038,-31.87,7.541543193359626,94.85,45.681810414221516,49.16818958577848,False,False,True
72,44.04,-25.13168633963428,69.17168633963428,-44.04,18.90831366036572,107.02,44.87858088122761,62.14141911877238,False,False,True
73,23.47,-26.009629569113237,49.479629569113236,-23.47,2.539629569113238,86.44999999999999,44.000637651748654,42.449362348251334,False,False,True
74,37.53,-27.041125487687257,64.57112548768725,-37.53,10.488874512312744,100.50999999999999,42.96914173317464,57.54085826682535,False,False,True
75,16.68,-28.091414421941572,44.77141442194157,-16.68,11.411414421941572,79.66,41.91885279892032,37.74114720107968,False,False,True
76,27.01,-29.246382745366287,56.25638274536629,-27.01,2.236382745366285,89.99,40.7638844754956,49.226115524504394,False,False,True
77,15.4,-30.566420209568186,45.966420209568184,-15.4,15.166420209568185,78.38,39.443847011293705,38.93615298870629,False,False,True
78,45.13,-31.770892086492207,76.9008920864922,-45.13,13.359107913507795,108.11,38.23937513436968,69.87062486563032,False,False,True
