frame_index,timestamp_sec,pred_relative_yaw,oxts_absolute_yaw,oxts_relative_yaw,yaw_error,abs_yaw_error,pred_relative_pitch,oxts_absolute_pitch,oxts_relative_pitch,pitch_error,abs_pitch_error,pred_relative_roll,oxts_absolute_roll,oxts_relative_roll,roll_error,abs_roll_error,tracked_point_count,inlier_count,inlier_ratio,confidence,warnings
1,0.1,0.009663957529856328,-69.10310314383125,0.9071640770306431,-0.8975001195007906,0.8975001195007906,0.9808352790423687,0.24877827464580346,0.24820531685068659,0.7326299621916803,0.7326299621916803,0.1393976626871998,1.3096096323305226,0.02349126960035619,0.11590639308684558,0.11590639308684558,971,464,0.47785787847579814,0.1370088912128344,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
2,0.2,-0.022305311514649186,-68.38959880155484,0.7135043422763943,-0.7358096537910512,0.7358096537910512,0.44112643686232766,0.8515298751234295,0.6027516004776317,-0.1616251636152981,0.1616251636152981,0.34340272976221176,1.3255951548146727,0.015985522484157855,0.3274172072780459,0.3274172072780459,913,319,0.3493975903614458,0.07324720569023083,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
3,0.3,0.2898255747963628,-67.67655282551452,0.7130459760403198,-0.42322040124395244,0.42322040124395244,0.5626118428161547,1.3103544774641929,0.45882460234076916,0.10378724047538412,0.10378724047538412,0.2140767260820943,1.1432799844040447,-0.18231517041061807,0.3963918964927018,0.3963918964927018,873,322,0.36884306987399773,0.08162712611644486,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
4,0.4,0.044492712415928184,-66.87681833507092,0.7997344904435977,-0.7552417780276812,0.7552417780276812,0.44432187347883284,1.3321841694586771,0.02182969199449758,0.4224921814843299,0.4224921814843299,0.02369992681977858,1.1291852226438264,-0.014094761760219399,0.03779468857999291,0.03779468857999291,851,171,0.2009400705052879,0.024226147160802042,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
5,0.5,0.09011495666060935,-66.15941787978763,0.7174004552832969,-0.6272854986226832,0.6272854986226832,0.4049097200700263,1.2014352006098232,-0.1307489688488488,0.5356586889188861,0.5356586889188861,-0.07055298847103426,1.0792805986879317,-0.049904623955882244,-0.020648364515153617,0.020648364515153617,834,166,0.19904076738609114,0.023770336248986428,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
6,0.6,-0.05517240818419381,-65.44161635404772,0.7178015257399011,-0.7729739339241064,0.7729739339241064,0.4037539371448851,1.1128559254825978,-0.0885792751272163,0.4923332122721149,0.4923332122721149,-0.05941447242731986,1.2240097377379777,0.14472913905004248,-0.20414361147734894,0.20414361147734894,809,190,0.23485784919653893,0.03309492559753453,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
7,0.7,0.05639353192523357,-64.67522800728074,0.7663883467669734,-0.7099948148417354,0.7099948148417354,1.8468270181052235,0.9014917948588373,-0.2113641306237639,2.05819114872898,2.05819114872898,-0.1875115792901551,1.157489337723289,-0.06652040001469572,-0.12099117927544967,0.12099117927544967,800,702,0.8775,0.351,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
8,0.8,0.19637239616594065,-64.01122721850363,0.6640007887771162,-0.46762839261117506,0.46762839261117506,0.4347263010425499,0.7165410185906075,-0.18495077626823786,0.6196770773107971,0.6196770773107971,-0.11601622195473585,1.0365379471711722,-0.1209513905521078,0.004935168597370421,0.004935168597370421,792,241,0.3042929292929293,0.055556512090603,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
9,0.9,0.28838000405685704,-63.35496135996078,0.656265858542838,-0.36788585448599065,0.36788585448599065,2.6952599317050776,0.6615943660375616,-0.054946652553041986,2.750206584258109,2.750206584258109,-0.14660127328078312,0.7904525741624837,-0.2460853730086967,0.09948409972790273,0.09948409972790273,763,673,0.8820445609436435,0.3528178243774574,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
10,1.0,-0.04309379656202327,-62.63773279201601,0.7172285679447725,-0.7603223645068056,0.7603223645068056,1.664446238759566,0.28086391117312953,-0.3807304548644197,2.045176693623972,2.045176693623972,-0.3021162777817195,0.8606399040660095,0.0701873299035185,-0.3723036076852395,0.3723036076852395,752,647,0.8603723404255319,0.3441489361702128,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
