frame_index,time_sec,segment,pred_yaw_current,pred_yaw_calibrated,oxts_yaw,yaw_error_current,yaw_error_calibrated,abs_yaw_error_current,abs_yaw_error_calibrated,pred_pitch,oxts_pitch,pitch_error,abs_pitch_error,pred_roll,oxts_roll,roll_error,abs_roll_error,confidence,yaw_confidence_before,yaw_confidence_after,pitch_confidence,roll_confidence,confidence_failure_before,confidence_failure_after,status,detected_line_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count,yaw_calibration_model,yaw_calibration_scale,yaw_calibration_offset,vp_temporal_jump,vp_side_flip,vp_cluster_ambiguity,line_support_consistency,yaw_warning_flags
0,0.0,calibration_0_80,-63.25,-38.4547,-70.01026722086189,6.760267220861891,31.55556722086189,6.760267220861891,31.55556722086189,1.26,0.0005729577951308233,1.2594270422048692,1.2594270422048692,2.57,1.286118362730159,1.283881637269841,1.283881637269841,0.82,0.74,0.48,0.88,0.83,False,False,full,70,10,32,22,linear,-0.2705094869167766,-55.56446532378772,,False,0.7355,0.8125,"[""high_cluster_ambiguity""]"
1,0.1,calibration_0_80,-55.81,-40.4673,-69.10310314383125,13.293103143831246,28.635803143831247,13.293103143831246,28.635803143831247,1.7,0.24877827464580346,1.4512217253541966,1.4512217253541966,1.91,1.3096096323305226,0.6003903676694773,0.6003903676694773,0.81,0.73,0.66,0.87,0.82,False,False,full,88,12,45,22,linear,-0.2705094869167766,-55.56446532378772,95.88180327882867,False,0.701,0.8889,"[""high_cluster_ambiguity""]"
2,0.2,calibration_0_80,-46.88,-42.883,-68.38959880155484,21.509598801554837,25.506598801554837,21.509598801554837,25.506598801554837,2.71,0.8515298751234295,1.8584701248765705,1.8584701248765705,1.8,1.3255951548146727,0.47440484518532733,0.47440484518532733,0.82,0.73,0.66,0.92,0.82,False,False,full,92,8,25,17,linear,-0.2705094869167766,-55.56446532378772,81.39965233340985,False,0.7323,0.72,"[""high_cluster_ambiguity""]"
3,0.3,calibration_0_80,-55.52,-40.5458,-67.67655282551452,12.156552825514517,27.13075282551452,12.156552825514517,27.13075282551452,2.75,1.3103544774641929,1.4396455225358071,1.4396455225358071,0.91,1.1432799844040447,-0.23327998440404463,0.23327998440404463,0.83,0.73,0.66,0.93,0.82,False,False,full,95,12,32,19,linear,-0.2705094869167766,-55.56446532378772,81.3899711266689,False,0.6926,0.8438,"[""high_cluster_ambiguity""]"
4,0.4,calibration_0_80,-58.28,-39.7992,-66.87681833507092,8.596818335070921,27.077618335070923,8.596818335070921,27.077618335070923,2.77,1.3321841694586771,1.437815830541323,1.437815830541323,0.8,1.1291852226438264,-0.3291852226438263,0.3291852226438263,0.91,0.99,0.99,0.91,0.84,False,False,full,96,11,44,15,linear,-0.2705094869167766,-55.56446532378772,35.633973957446806,False,0.4845,0.9773,[]
5,0.5,calibration_0_80,-44.3,-43.5809,-66.15941787978763,21.859417879787628,22.578517879787626,21.859417879787628,22.578517879787626,2.79,1.2014352006098232,1.5885647993901768,1.5885647993901768,0.9,1.0792805986879317,-0.17928059868793167,0.17928059868793167,0.76,0.54,0.38,0.93,0.82,False,False,full,106,11,40,20,linear,-0.2705094869167766,-55.56446532378772,120.55107009064659,False,0.9053,0.55,"[""large_temporal_jump"", ""high_cluster_ambiguity""]"
6,0.6,calibration_0_80,-38.93,-45.0335,-65.44161635404772,26.511616354047725,20.408116354047728,26.511616354047725,20.408116354047728,1.77,1.1128559254825978,0.6571440745174022,0.6571440745174022,0.73,1.2240097377379777,-0.49400973773797774,0.49400973773797774,0.78,0.64,0.45,0.89,0.81,False,False,full,118,18,115,19,linear,-0.2705094869167766,-55.56446532378772,41.636508018804854,False,0.9742,0.1217,"[""high_cluster_ambiguity"", ""low_line_support_consistency""]"
7,0.7,calibration_0_80,-9.58,-52.973,-64.67522800728074,55.09522800728074,11.702228007280738,55.09522800728074,11.702228007280738,2.55,0.9014917948588373,1.6485082051411624,1.6485082051411624,-0.0,1.157489337723289,-1.157489337723289,1.157489337723289,0.62,0.15,0.09,0.89,0.83,False,False,full,119,27,245,20,linear,-0.2705094869167766,-55.56446532378772,190.31951161139517,True,0.9644,0.102,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
8,0.8,calibration_0_80,-59.4,-39.4962,-64.01122721850363,4.611227218503636,24.515027218503633,4.611227218503636,24.515027218503633,1.9,0.7165410185906075,1.1834589814093923,1.1834589814093923,-0.0,1.0365379471711722,-1.0365379471711722,1.0365379471711722,0.68,0.39,0.27,0.83,0.82,False,False,full,103,18,105,24,linear,-0.2705094869167766,-55.56446532378772,348.52973502988226,True,0.9544,0.819,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
9,0.9,calibration_0_80,-48.2,-42.5259,-63.35496135996078,15.15496135996078,20.829061359960782,15.15496135996078,20.829061359960782,2.12,0.6615943660375616,1.4584056339624385,1.4584056339624385,-0.0,0.7904525741624837,-0.7904525741624837,0.7904525741624837,0.78,0.64,0.45,0.9,0.8,False,False,full,104,24,79,20,linear,-0.2705094869167766,-55.56446532378772,113.60240886530529,False,0.9392,0.3291,"[""high_cluster_ambiguity"", ""low_line_support_consistency""]"
10,1.0,calibration_0_80,-8.1,-53.3733,-62.63773279201601,54.53773279201601,9.26443279201601,54.53773279201601,9.26443279201601,1.6,0.28086391117312953,1.3191360888268706,1.3191360888268706,-0.83,0.8606399040660095,-1.6906399040660096,1.6906399040660096,0.6,0.15,0.09,0.84,0.8,False,False,full,122,16,69,37,linear,-0.2705094869167766,-55.56446532378772,236.12602948425658,True,0.9694,0.1739,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
11,1.1,calibration_0_80,-61.56,-38.9119,-61.954595212881536,0.39459521288153354,23.042695212881533,0.39459521288153354,23.042695212881533,1.34,0.22310976542394256,1.1168902345760574,1.1168902345760574,-0.0,0.9886386754982355,-0.9886386754982355,0.9886386754982355,0.65,0.24,0.14,0.91,0.81,False,False,full,117,32,193,33,linear,-0.2705094869167766,-55.56446532378772,328.69289526851657,True,0.9992,0.1295,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
12,1.2,calibration_0_80,-29.08,-47.698,-61.313340848571116,32.23334084857112,13.615340848571115,32.23334084857112,13.615340848571115,1.95,0.48896218236464456,1.4610378176353553,1.4610378176353553,-0.92,1.1582341828569591,-2.078234182856959,2.078234182856959,0.63,0.24,0.14,0.85,0.8,False,False,full,148,34,225,52,linear,-0.2705094869167766,-55.56446532378772,247.7115354600992,True,0.9733,0.0933,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
13,1.3,calibration_0_80,-63.05,-38.5088,-60.604534760214776,-2.4454652397852215,22.095734760214775,2.4454652397852215,22.095734760214775,0.69,0.6778090716397639,0.012190928360236053,0.012190928360236053,-0.9,1.16866201472834,-2.06866201472834,2.06866201472834,0.68,0.39,0.27,0.85,0.81,False,False,full,118,23,155,39,linear,-0.2705094869167766,-55.56446532378772,479.6198705224795,True,1.0,0.8452,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
14,1.4,calibration_0_80,-12.7,-52.129,-59.92603813922085,47.22603813922085,7.797038139220852,47.22603813922085,7.797038139220852,1.08,0.5979387549985272,0.48206124500147285,0.48206124500147285,-2.75,1.2559807827062777,-4.005980782706278,4.005980782706278,0.6,0.15,0.09,0.85,0.81,False,False,full,142,29,173,43,linear,-0.2705094869167766,-55.56446532378772,411.9087301818207,True,0.9796,0.2139,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
15,1.5,calibration_0_80,-64.39,-38.1464,-59.25544833579974,-5.134551664200259,21.10904833579974,5.134551664200259,21.10904833579974,1.52,0.5152609451611493,1.0047390548388506,1.0047390548388506,-0.0,1.2838838273291486,-1.2838838273291486,1.2838838273291486,0.68,0.4,0.28,0.83,0.81,False,False,full,160,34,321,44,linear,-0.2705094869167766,-55.56446532378772,433.3687436814058,True,0.9991,0.3614,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
16,1.6,calibration_0_80,-66.88,-37.4728,-58.58119160248979,-8.298808397510207,21.10839160248979,8.298808397510207,21.10839160248979,1.2,0.7540124583921634,0.4459875416078366,0.4459875416078366,-3.24,1.116293672253383,-4.356293672253383,4.356293672253383,0.61,0.15,0.09,0.89,0.8,False,False,full,145,54,773,47,linear,-0.2705094869167766,-55.56446532378772,839.7405414769494,True,0.9997,0.0983,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
17,1.7,calibration_0_80,-46.9,-42.8776,-57.96818405747932,11.068184057479321,15.090584057479319,11.068184057479321,15.090584057479319,0.79,0.4968689999374499,0.29313100006255016,0.29313100006255016,-0.69,1.011900761980547,-1.7019007619805469,1.7019007619805469,0.65,0.24,0.14,0.89,0.81,False,False,full,157,61,605,45,linear,-0.2705094869167766,-55.56446532378772,242.1106600296651,True,0.9912,0.1603,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
18,1.8,calibration_0_80,-63.33,-38.4331,-57.33581053899343,-5.99418946100657,18.902710538993425,5.99418946100657,18.902710538993425,0.58,0.028476002418001918,0.551523997581998,0.551523997581998,-0.0,0.991045098237785,-0.991045098237785,0.991045098237785,0.64,0.25,0.15,0.89,0.79,False,False,full,166,55,847,44,linear,-0.2705094869167766,-55.56446532378772,176.94991438257335,True,0.9969,0.0567,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
19,1.9,calibration_0_80,-21.39,-49.7783,-56.670434651508,35.280434651508,6.892134651508002,35.280434651508,6.892134651508002,-1.33,-0.34136825433894447,-0.9886317456610556,0.9886317456610556,-1.68,1.0881041487329464,-2.768104148732946,2.768104148732946,0.63,0.25,0.15,0.85,0.8,False,False,full,163,56,985,47,linear,-0.2705094869167766,-55.56446532378772,302.5793571941087,True,0.9733,0.134,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
20,2.0,calibration_0_80,-25.07,-48.7828,-55.91298444634506,30.842984446345056,7.130184446345055,30.842984446345056,7.130184446345055,-1.05,-0.7247343150609783,-0.32526568493902175,0.32526568493902175,-1.61,1.4444266015248053,-3.0544266015248054,3.0544266015248054,0.71,0.45,0.32,0.87,0.8,False,False,full,198,68,877,63,linear,-0.2705094869167766,-55.56446532378772,16.189996911673592,True,0.9708,0.1539,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
21,2.1,calibration_0_80,-23.79,-49.129,-55.23964444550732,31.449644445507317,6.110644445507319,31.449644445507317,6.110644445507319,-0.58,-0.622919714866231,0.04291971486623103,0.04291971486623103,-1.86,1.506248747619421,-3.366248747619421,3.366248747619421,0.67,0.4,0.28,0.81,0.8,False,False,full,173,46,553,65,linear,-0.2705094869167766,-55.56446532378772,173.37111293407568,True,0.9977,0.3707,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
22,2.2,calibration_0_80,-25.95,-48.5447,-54.48918432544497,28.539184325444968,5.944484325444968,28.539184325444968,5.944484325444968,-0.34,-0.3381596906862119,-0.0018403093137881466,0.0018403093137881466,-2.05,1.3776197226125513,-3.427619722612551,3.427619722612551,0.61,0.15,0.09,0.87,0.8,False,False,full,194,58,1009,72,linear,-0.2705094869167766,-55.56446532378772,179.54579944961122,True,0.9832,0.1536,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
23,2.3,calibration_0_80,-51.94,-41.5142,-53.80593215475145,1.8659321547514551,12.29173215475145,1.8659321547514551,12.29173215475145,0.18,-0.07517206272116402,0.255172062721164,0.255172062721164,-1.45,1.2601060788312195,-2.7101060788312195,2.7101060788312195,0.64,0.24,0.14,0.88,0.8,False,False,full,198,65,1220,56,linear,-0.2705094869167766,-55.56446532378772,147.88856784755208,True,0.9929,0.0869,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
24,2.4,calibration_0_80,-22.8,-49.3968,-53.13505587243277,30.335055872432772,3.7382558724327737,30.335055872432772,3.7382558724327737,0.67,-0.15968333750296043,0.8296833375029604,0.8296833375029604,-0.0,1.2516835992427964,-1.2516835992427964,1.2516835992427964,0.64,0.24,0.14,0.86,0.81,False,False,full,208,68,1027,64,linear,-0.2705094869167766,-55.56446532378772,160.54139715350684,True,0.9965,0.258,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
25,2.5,calibration_0_80,-15.47,-51.3797,-52.505719030261076,37.03571903026108,1.1260190302610766,37.03571903026108,1.1260190302610766,-0.2,-0.14123409649974794,-0.05876590350025207,0.05876590350025207,-1.71,1.2379326121596568,-2.947932612159657,2.947932612159657,0.66,0.3,0.18,0.87,0.8,False,False,full,203,81,1674,47,linear,-0.2705094869167766,-55.56446532378772,135.79120000942623,True,0.9952,0.1547,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
26,2.6,calibration_0_80,-23.87,-49.1074,-51.70976606126534,27.83976606126534,2.602366061265343,27.83976606126534,2.602366061265343,0.61,0.3924187938851008,0.21758120611489917,0.21758120611489917,-0.0,0.9871489852308954,-0.9871489852308954,0.9871489852308954,0.62,0.15,0.09,0.91,0.81,False,False,full,222,79,1804,59,linear,-0.2705094869167766,-55.56446532378772,140.4508899936202,True,0.9813,0.179,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
